mass    ggH          qqH         WH          ZH          ttH       BR(WW)      BR(ZZ)      BR(bb)      BR(tautau)  BR(gg)
152.0  13.120000    1.229000	0.350700    0.206300	0.071040  0.73600000  0.08090000  0.12900000  0.01480000  0.00123000
153.0  12.970000    1.218000	0.342200    0.201600	0.069560  0.75600000  0.07920000  0.11600000  0.01330000  0.00115000
154.0  12.860000    1.208000	0.333700    0.196900	0.068080  0.77500000  0.07670000  0.10400000  0.01190000  0.00108000
155.0  12.840000    1.197000	0.325200    0.192300	0.066600  0.79500000  0.07350000  0.09170000  0.01050000  0.00099900
156.0  12.920000    1.187000	0.315700    0.187100	0.065300  0.81600000  0.06930000  0.07960000  0.00916000  0.00091400
157.0  12.840000    1.176000	0.306400    0.182100	0.064000  0.83800000  0.06410000  0.06780000  0.00781000  0.00082500
158.0  12.520000    1.166000	0.297500    0.177300	0.062700  0.86100000  0.05760000  0.05620000  0.00648000  0.00072900
159.0  12.170000    1.155000	0.289200    0.172800	0.061400  0.88500000  0.04990000  0.04480000  0.00518000  0.00062800
160.0  11.980000    1.146000	0.281700    0.168700	0.060100  0.90800000  0.04150000  0.03430000  0.00396000  0.00053200
162.0  11.960000    1.136000	0.272000    0.163400	0.057820  0.94300000  0.02820000  0.01960000  0.00227000  0.00037000
164.0  11.270000    1.123000	0.263700    0.158700	0.055540  0.95700000  0.02310000  0.01350000  0.00157000  0.00025900
166.0  10.690000    1.106000	0.254300    0.153300	0.053380  0.96200000  0.02180000  0.01060000  0.00124000  0.00020800
168.0  10.400000    1.088000	0.243600    0.147100	0.051340  0.96400000  0.02220000  0.00899000  0.00105000  0.00017800
170.0  10.150000    1.070000	0.232900    0.140800	0.049300  0.96400000  0.02360000  0.00787000  0.00091900  0.00015800
172.0	9.895000    1.052000	0.222900    0.135000	0.047500  0.96300000  0.02610000  0.00705000  0.00082500  0.00014300
174.0	9.637000    1.035000	0.213500    0.129400	0.045700  0.96000000  0.02980000  0.00640000  0.00075100  0.00013200
176.0	9.429000    1.017000	0.204500    0.123900	0.044000  0.95600000  0.03540000  0.00586000  0.00069000  0.00012200
178.0	9.203000    1.000000	0.196100    0.118600	0.042400  0.94700000  0.04440000  0.00540000  0.00063600  0.00011300
180.0	8.923000    0.982000	0.188300    0.113700	0.040800  0.93200000  0.06020000  0.00497000  0.00058700  0.00010500
182.0	8.634000    0.967000	0.181400    0.109500	0.039400  0.90300000  0.09000000  0.00451000  0.00053400  0.00009680
184.0	8.410000    0.955800	0.174800    0.105700	0.038000  0.86200000  0.13100000  0.00405000  0.00048100  0.00008810
186.0	8.219000    0.942900	0.168300    0.101800	0.036660  0.82800000  0.16600000  0.00367000  0.00043700  0.00008090
188.0	7.994000    0.928600	0.161900    0.097980	0.035380  0.80300000  0.19100000  0.00338000  0.00040300  0.00007520
190.0	7.984000    0.913900	0.155600    0.094280	0.034100  0.78600000  0.20900000  0.00315000  0.00037600  0.00007050
192.0	7.724000    0.899800	0.149800    0.090790	0.032980  0.77200000  0.22300000  0.00295000  0.00035300  0.00006660
194.0	7.443000    0.885400	0.144300    0.087450	0.031860  0.76100000  0.23400000  0.00278000  0.00033300  0.00006320
196.0	7.430000    0.871400	0.138900    0.084260	0.030780  0.75300000  0.24300000  0.00263000  0.00031600  0.00006020
198.0	7.237000    0.857400	0.133600    0.081200	0.029740  0.74600000  0.25000000  0.00250000  0.00030100  0.00005750
200.0	7.127000    0.844100	0.128600    0.078270	0.028700  0.74100000  0.25500000  0.00238000  0.00028700  0.00005510
202.0	7.002000    0.830900	0.123800    0.075450	0.027840  0.73600000  0.26000000  0.00227000  0.00027500  0.00005290
204.0	6.885000    0.817800	0.119300    0.072740	0.026980  0.73200000  0.26500000  0.00218000  0.00026300  0.00005080
206.0	6.767000    0.805100	0.115000    0.070140	0.026120  0.72800000  0.26800000  0.00209000  0.00025300  0.00004890
208.0	6.644000    0.792700	0.110900    0.067650	0.025260  0.72500000  0.27100000  0.00200000  0.00024300  0.00004710
210.0	6.534000    0.780500	0.107000    0.065260	0.024400  0.72300000  0.27400000  0.00192000  0.00023400  0.00004540
212.0	6.421000    0.768700	0.103200    0.062990	0.023700  0.72100000  0.27600000  0.00185000  0.00022500  0.00004390
214.0	6.327000    0.756800	0.099580    0.060800	0.023000  0.71900000  0.27800000  0.00178000  0.00021800  0.00004240
216.0	6.249000    0.745200	0.096110    0.058710	0.022300  0.71700000  0.28000000  0.00172000  0.00021000  0.00004100
218.0	6.138000    0.734000	0.092790    0.056700	0.021600  0.71500000  0.28200000  0.00166000  0.00020300  0.00003960
220.0	6.038000    0.722900	0.089610    0.054760	0.020900  0.71400000  0.28400000  0.00160000  0.00019600  0.00003840
222.0	5.938000    0.712000	0.086570    0.052900	0.020340  0.71200000  0.28500000  0.00155000  0.00019000  0.00003720
224.0	5.851000    0.701600	0.083650    0.051100	0.019780  0.71100000  0.28600000  0.00150000  0.00018400  0.00003600
226.0	5.776000    0.691300	0.080850    0.049370	0.019220  0.71000000  0.28700000  0.00145000  0.00017800  0.00003490
228.0	5.680000    0.680800	0.078170    0.047710	0.018660  0.70900000  0.28800000  0.00140000  0.00017300  0.00003390
230.0	5.593000    0.670700	0.075590    0.046140	0.018100  0.70800000  0.28900000  0.00136000  0.00016800  0.00003280
232.0	5.513000    0.661000	0.073080    0.044600	0.017620  0.70700000  0.29000000  0.00132000  0.00016300  0.00003190
234.0	5.438000    0.651300	0.070670    0.043110	0.017140  0.70600000  0.29100000  0.00128000  0.00015800  0.00003090
236.0	5.352000    0.641800	0.068350    0.041690	0.016660  0.70600000  0.29200000  0.00124000  0.00015400  0.00003010
238.0	5.272000    0.632600	0.066120    0.040320	0.016180  0.70500000  0.29300000  0.00120000  0.00015000  0.00002920
240.0	5.183000    0.623400	0.063980    0.039010	0.015700  0.70400000  0.29400000  0.00117000  0.00014500  0.00002840
242.0	5.101000    0.614400	0.061940    0.037750	0.015320  0.70400000  0.29400000  0.00113000  0.00014200  0.00002760
244.0	5.020000    0.605600	0.059970    0.036530	0.014940  0.70300000  0.29500000  0.00110000  0.00013800  0.00002680
